Uniprot_A	Uniprot_B	Gene_A	Gene_B	ORF_A	ORF_B	Alias_A	Alias_B	pmid:method:quality
P41958	P42573	CED-9	CED-3	T07C4.8	C48D1.2	WBGENE00000423	WBGENE00000417	9384385:0415:LC|18776901:0435:LC|25432023:0415:LC|15543163:0415:LC
P41958	Q9TY06	CED-9	CED-13	T07C4.8	CELE_R09F10.9|R09F10.9	WBGENE00000423	WBGENE00000427	15605074:0004:LC|16167070:0415:LC|15605074:0018:LC|16167070:0004:LC
P41977	P41977	SOD-3	SOD-3	C08A9.1	C08A9.1	WBGENE00004932	WBGENE00004932	19052361:0114:LC|PDB_6QZM:0114:LC|PDB_6S0D:0114:LC|29178484:0114:LC|26257399:0114:LC|PDB_6QZN:0114:LC
P42573	P42573	CED-3	CED-3	C48D1.2	C48D1.2	WBGENE00000417	WBGENE00000417	18776901:0435:LC|24065769:0114:LC|20434985:0071:LC|20434985:0027:LC|20434985:0065:LC
P42573	P92186	CED-3	LIN-28	C48D1.2	F02E9.2	WBGENE00000417	WBGENE00003014	28602583:0415:LC|25432023:0415:LC
P42573	Q9XXH8	CED-3	CNT-1	C48D1.2	Y17G7B.15	WBGENE00000417	WBGENE00000565	25383666:0415:LC|15122042:0415:LC|25383666:0435:LC
P45970	P45970	LIN-5	LIN-5	T09A5.10	T09A5.10	WBGENE00002994	WBGENE00002994	15138888:0018:LC
P45970	Q95QA6	LIN-5	PAT-12	T09A5.10	T17H7.4	WBGENE00002994	WBGENE00003936	15138888:0018:LC
P45970	Q95QJ7	LIN-5	GPR-1	T09A5.10	F22B7.13	WBGENE00002994	WBGENE00001688	12814548:0018:LC|27711157:0018:LC|21857670:0018:LC|15138888:0018:LC
P46577	Q9XW68	GOP-2	Q9XW68	C34E10.2	CELE_Y75B8A.14|Y75B8A.14	WBGENE00001661	WBGENE00013550	11731503:0018:LC
P46580	P46580	PRMT-5	PRMT-5	C34E10.5	C34E10.5	WBGENE00016408	WBGENE00016408	22143770:0114:LC|22143770:0096:LC
P46582	Q10661	SUMV-1	DPY-30	C34E10.8	ZK863.6	WBGENE00016409	WBGENE00001088	24882710:0018:LC
P46822	Q23064	KLC-2	UNC-83	C18C4.10	W01A11.3	WBGENE00002215	WBGENE00006815	20005871:0018:LC|19605495:0004:LC|19605495:0018:LC
P46873	P46873	OSM-3	OSM-3	M02B7.3	M02B7.3	WBGENE00003884	WBGENE00003884	33513284:0114:LC
P50464	Q9TZC4	UNC-97	PAT-4	F14D12.2	C29F9.7	WBGENE00006826	WBGENE00003931	12015115:0018:LC|17662976:0018:LC
P51875	Q03569	GOA-1	GPR-2	C26C6.2	C38C10.4	WBGENE00001648	WBGENE00001689	15479639:0415:LC|15479639:0004:LC|12814548:0018:LC|18984596:0415:LC|12814548:0004:LC
P51875	Q19955	GOA-1	AGS-3	C26C6.2	CELE_F32A6.4|F32A6.4	WBGENE00001648	WBGENE00000092	26780296:0090:LC|26780296:0096:LC|18629017:0018:LC|26780296:0231:LC|26780296:0018:LC|18629017:0399:LC|26780296:0004:LC
P51875	Q8WQC0	GOA-1	RGS-7	C26C6.2	F56B6.2	WBGENE00001648	WBGENE00004350	15479638:0415:LC|18984596:0415:LC
P51875	Q95QJ7	GOA-1	GPR-1	C26C6.2	F22B7.13	WBGENE00001648	WBGENE00001688	15479639:0415:LC|15479639:0004:LC|12814548:0018:LC|12750478:0018:LC|18984596:0415:LC|12814548:0004:LC|12750478:0004:LC
P51875	Q9GSX9	GOA-1	RIC-8	C26C6.2	Y69A2AR.2	WBGENE00001648	WBGENE00004367	15479639:0018:LC|15479639:0415:LC|15479639:0004:LC|15479639:0107:LC|16162648:0107:LC|15479638:0415:LC|15498497:0018:LC|15479639:0419:LC|16162648:0006:LC|15479639:0006:LC|15479639:0019:LC|16162648:0004:LC
P51875	Q9TZI4	GOA-1	GBAS-1	C26C6.2	F59H5.1	WBGENE00001648	WBGENE00019130	26659249:0415:LC|26659249:0004:LC|18629017:0018:LC|18629017:0399:LC
P52275	P52275	TBB-2	TBB-2	C36E8.5	C36E8.5	WBGENE00006537	WBGENE00006537	30245157:0114:LC
P52478	P52478	UBC-1	UBC-1	C35B1.1	C35B1.1	WBGENE00006701	WBGENE00006701	PDB_1Q34:0114:LC
P52478	Q95XX0	UBC-1	UBC-13	C35B1.1	Y54G2A.31	WBGENE00006701	WBGENE00006708	15530417:0018:LC
P52554	Q21993	PFD-6	PFD-5	F21C3.5	R151.9	WBGENE00009004	WBGENE00020112	11731503:0018:LC|30478249:0018:LC
P53017	P53017	MSP-19|MSP-31|MSP-40|MSP-45|MSP-50|MSP-51|MSP-53|MSP-59|MSP-64|MSP-65|MSP-81|MSP-113|MSP-142	MSP-19|MSP-31|MSP-40|MSP-45|MSP-50|MSP-51|MSP-53|MSP-59|MSP-64|MSP-65|MSP-81|MSP-113|MSP-142	F36H12.7|R05F9.13|C33F10.9|F58A6.8|C34F11.4|ZK354.5|R13H9.4|ZK354.11|ZK1248.6|ZK354.1|K07F5.1|ZK354.4|K05F1.2	F36H12.7|R05F9.13|C33F10.9|F58A6.8|C34F11.4|ZK354.5|R13H9.4|ZK354.11|ZK1248.6|ZK354.1|K07F5.1|ZK354.4|K05F1.2	WBGENE00003435|WBGENE00003443|WBGENE00003426|WBGENE00003438|WBGENE00003469|WBGENE00003467|WBGENE00003429|WBGENE00003446|WBGENE00003457|WBGENE00003458|WBGENE00003452|WBGENE00003468|WBGENE00003444	WBGENE00003435|WBGENE00003443|WBGENE00003426|WBGENE00003438|WBGENE00003469|WBGENE00003467|WBGENE00003429|WBGENE00003446|WBGENE00003457|WBGENE00003458|WBGENE00003452|WBGENE00003468|WBGENE00003444	12051923:0096:LC|12051923:0114:LC|9641981:0096:LC|9641981:0018:LC
P53806	Q0G819	RCAN-1	TAX-6	F54E7.7	C02F4.2	WBGENE00004321	WBGENE00006527	26232604:0018:LC
P54811	P54811	CDC-48.1	CDC-48.1	C06A1.1	C06A1.1	WBGENE00007352	WBGENE00007352	16647269:0018:LC|24055316:0114:LC|25721663:0018:LC|17369820:0018:LC
P54811	P54812	CDC-48.1	CDC-48.2	C06A1.1	C41C4.8	WBGENE00007352	WBGENE00008053	17369820:0018:LC|16647269:0018:LC
P54811	Q09349	CDC-48.1	UFD-2	C06A1.1	T05H10.5	WBGENE00007352	WBGENE00006734	17369820:0018:LC|17369820:0004:LC|25721663:0018:LC
P54811	Q19584	CDC-48.1	UFD-1	C06A1.1	F19B6.2	WBGENE00007352	WBGENE00006733	20977550:0018:LC|16647269:0018:LC|20977550:0004:LC
P54811	Q7YWU9	CDC-48.1	UBXN-5	C06A1.1	T01E8.9	WBGENE00007352	WBGENE00011336	20977550:0018:LC|19545544:0018:LC|19545544:0004:LC
P54811	Q9N2W5	CDC-48.1	UBXN-2	C06A1.1	Y94H6A.9	WBGENE00007352	WBGENE00022381	20977550:0018:LC|23649807:0018:LC|23649807:0004:LC|20977550:0004:LC
P54811	Q9TXH9	CDC-48.1	UBXN-1	C06A1.1	F23C8.4	WBGENE00007352	WBGENE00017733	20977550:0004:LC|20977550:0018:LC|16647269:0018:LC
P54812	P54812	CDC-48.2	CDC-48.2	C41C4.8	C41C4.8	WBGENE00008053	WBGENE00008053	16647269:0018:LC|17369820:0018:LC
P54812	Q19584	CDC-48.2	UFD-1	C41C4.8	F19B6.2	WBGENE00008053	WBGENE00006733	20977550:0018:LC|16647269:0018:LC
P54812	Q7YWU9	CDC-48.2	UBXN-5	C41C4.8	T01E8.9	WBGENE00008053	WBGENE00011336	20977550:0018:LC|19545544:0018:LC
P54812	Q9N2W5	CDC-48.2	UBXN-2	C41C4.8	Y94H6A.9	WBGENE00008053	WBGENE00022381	20977550:0004:LC|20977550:0018:LC|23649807:0018:LC|23649807:0004:LC
P54812	Q9TXH9	CDC-48.2	UBXN-1	C41C4.8	F23C8.4	WBGENE00008053	WBGENE00017733	20977550:0018:LC|16647269:0018:LC|20977550:0004:LC
P54936	Q18624	LIN-2	GMEB-3	F17E5.1	C44F1.2|CELE_C44F1.2	WBGENE00002991	WBGENE00008092	26780296:0096:LC|26780296:0004:LC|26780296:0018:LC
P55853	P55853	SMO-1	SMO-1	K12C11.2	K12C11.2	WBGENE00004888	WBGENE00004888	11731503:0018:LC
P55853	Q21209	SMO-1	BRD-1	K12C11.2	K04C2.4	WBGENE00004888	WBGENE00000265	14711411:0018:LC
P55853	Q94361	SMO-1	GEI-17	K12C11.2	W10D5.3	WBGENE00004888	WBGENE00001574	25475837:0415:LC
P55853	Q94420	SMO-1	MEL-26	K12C11.2	ZK858.4	WBGENE00004888	WBGENE00003209	23918937:0018:LC|23918937:0399:LC
P55853	Q95017	SMO-1	UBC-9	K12C11.2	F29B9.6	WBGENE00004888	WBGENE00006706	11731503:0018:LC|14711411:0018:LC|31243051:0415:LC
P55853	Q95Q57	SMO-1	Q95Q57	K12C11.2	CELE_F29B9.5|F29B9.5	WBGENE00004888	WBGENE00017921	11731503:0018:LC|14711411:0018:LC
P90757	Q8TA52	CHE-11	IFT-20	C27A7.4|CELE_C27A7.4	Y110A7A.20	WBGENE00000490	WBGENE00022465	22922713:0809:LC|22922713:0090:LC|27534274:0090:LC
P90780	P90780	SDZ-8	SDZ-8	C55A6.5|CELE_C55A6.5	C55A6.5|CELE_C55A6.5	WBGENE00008334	WBGENE00008334	PDB_1YO6:0114:LC
P90867	Q23359	P90867	OMA-2	CELE_F39H11.1|F39H11.1	ZC513.6	WBGENE00009565	WBGENE00003865	12445390:0018:LC|12445390:0398:LC
